ont,wikiPageWikiLink,link
http://fr.dbpedia.org/resource/Communication_de_données,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/SpagoBI
http://fr.dbpedia.org/resource/Sereine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Ouessant
http://fr.dbpedia.org/resource/Sereine,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Skagen
http://fr.dbpedia.org/resource/Sophrologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Alfonso_Caycedo
http://fr.dbpedia.org/resource/Sophrologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/France
http://fr.dbpedia.org/resource/Sophrologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Inconscient
http://fr.dbpedia.org/resource/Sophrologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Médecine_non_conventionnelle
http://fr.dbpedia.org/resource/Sophrologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Pôle_emploi
http://fr.dbpedia.org/resource/Sophrologie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Santé_Magazine
http://fr.dbpedia.org/resource/Spondylodiscite,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Corset
http://fr.dbpedia.org/resource/Sport,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Asthme
http://fr.dbpedia.org/resource/Sport,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Attelage_de_tradition
http://fr.dbpedia.org/resource/Sport,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Balle_aux_prisonniers
http://fr.dbpedia.org/resource/Sport,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Circuit_de_Spa-Francorchamps
http://fr.dbpedia.org/resource/Sport,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Compétition_automobile
http://fr.dbpedia.org/resource/Sport,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Course_de_fond
http://fr.dbpedia.org/resource/Sport,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Lancer_du_disque
http://fr.dbpedia.org/resource/Sport,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Rugby_à_sept
http://fr.dbpedia.org/resource/Sport,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Sheffield_Shield
http://fr.dbpedia.org/resource/Sport,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Tennis_de_table
http://fr.dbpedia.org/resource/Sport,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Fichier:Coup_d'envoi.jpg
